"state_code","su","mh","state","population","st","year"
"AK",1.23400204491767,1.23400204491767,"Alaska",737438,2,2018
"AL",0.270056226933976,0.362120849752377,"Alabama",4887871,1,2018
"AR",0.47779814687316,0.75319568986255,"Arkansas",3013825,5,2018
"AZ",0.567512674217328,0.508948712750183,"Arizona",7171646,4,2018
"CA",0.379704803531204,0.215132348738385,"California",39557045,6,2018
"CO",0.70932395808387,0.31954693161204,"Colorado",5695564,8,2018
"CT",0.615786814604784,0.635380031433118,"Connecticut",3572665,9,2018
"DC",0.341658896299407,0.498252557103302,"District of Columbia",702455,11,2018
"DE",0.413577330172224,0.372219597155002,"Delaware",967171,10,2018
"FL",0.340855872193133,0.226298251235661,"Florida",21299325,12,2018
"GA",0.315605103866875,0.20818529441821,"Georgia",10519475,13,2018
"HI",1.18268964745289,0.267513134542915,"Hawaii",1420491,15,2018
"IA",0.529126513515697,0.446747535363553,"Iowa",3156145,19,2018
"ID",0.758176909465696,0.72397343986574,"Idaho",1754208,16,2018
"IL",0.532921855918023,0.285690067090074,"Illinois",12741080,17,2018
"IN",0.549920366151326,0.430372460466255,"Indiana",6691878,18,2018
"KS",0.61480231014544,0.415592623059208,"Kansas",2911505,20,2018
"KY",0.935457463316864,0.481156350749104,"Kentucky",4468402,21,2018
"LA",0.311160267280232,0.390559783758636,"Louisiana",4659978,22,2018
"MA",0.599813188617052,0.44189135876377,"Massachusetts",6902149,25,2018
"MD",0.683467274163712,0.408756456945368,"Maryland",6042718,24,2018
"ME",1.35235698638079,1.34488540082068,"Maine",1338404,23,2018
"MI",0.465190030127307,0.353144259429977,"Michigan",9995915,26,2018
"MN",0.673655215775508,0.418806814040329,"Minnesota",5611179,27,2018
"MO",0.445608649182267,0.34440815010058,"Missouri",6126452,29,2018
"MS",0.328140015335523,0.572570843085454,"Mississippi",2986530,28,2018
"MT",0.677771449819026,0.781319865763599,"Montana",1062305,30,2018
"NC",0.494047355353913,0.276396863521585,"North Carolina",10383620,37,2018
"ND",1.02621181801317,0.447323100159589,"North Dakota",760077,38,2018
"NE",0.642730818113398,0.704930574705018,"Nebraska",1929268,31,2018
"NH",0.530794171290228,0.42758419353935,"New Hampshire",1356458,33,2018
"NJ",0.414210216736338,0.35134904563272,"New Jersey",8908520,34,2018
"NM",0.668121262100153,0.310199157403643,"New Mexico",2095428,35,2018
"NV",0.266939802108627,0.158186549397705,"Nevada",3034392,32,2018
"NY",0.45951816399057,0.432397381483332,"New York",19542209,36,2018
"OH",0.396939391974399,0.481631201899971,"Ohio",11689442,39,2018
"OK",0.507217836619555,0.370269020732275,"Oklahoma",3943079,40,2018
"OR",0.54644639229649,0.39134152112063,"Oregon",4190713,41,2018
"PA",0.451313572357746,0.438039643758989,"Pennsylvania",12807060,42,2018
"PR",NA,NA,NA,NA,NA,2018
"RI",0.529643483730014,0.529643483730014,"Rhode Island",1057315,44,2018
"SC",0.22422728621846,0.206525132043318,"South Carolina",5084127,45,2018
"SD",0.668756057059627,0.555407572812233,"South Dakota",882235,46,2018
"TN",0.32643969506692,0.409157445853108,"Tennessee",6770010,47,2018
"TX",0.174901648308671,0.11741405474108,"Texas",28701845,48,2018
"UT",0.850968253189945,0.477681064058296,"Utah",3161105,49,2018
"VA",0.271200449417888,0.289984896130815,"Virginia",8517685,51,2018
"VT",0.734473470339247,1.16557746379924,"Vermont",626299,50,2018
"WA",0.590530988213134,0.472424790570507,"Washington",7535591,53,2018
"WI",0.460990565518456,0.69664619042901,"Wisconsin",5813568,55,2018
"WV",0.598062278218572,0.670051256152289,"West Virginia",1805832,54,2018
"WY",0.917372437631656,0.830827868043764,"Wyoming",577737,56,2018
"ZZ",NA,NA,NA,NA,NA,2018
"AK",1.69033360914852,1.51312121464102,"Alaska",733583,2,2022
"AL",0.396114061930956,0.378377611396734,"Alabama",5074296,1,2022
"AR",0.728911554462991,0.788012491311341,"Arkansas",3045637,5,2022
"AZ",0.812588656072123,0.756876055906643,"Arizona",7359197,4,2022
"CA",0.563678475542836,0.334107605503572,"California",39029342,6,2022
"CO",0.760283606333368,0.41438881246098,"Colorado",5839926,8,2022
"CT",0.659091253803908,0.744580077519059,"Connecticut",3626205,9,2022
"DC",0.699609855865484,0.714495171947729,"District of Columbia",671803,11,2022
"DE",0.706994135876417,0.500787512912462,"Delaware",1018396,10,2022
"FL",0.433359258466565,0.296248704698617,"Florida",22244823,12,2022
"GA",0.405942484822516,0.282235407054932,"Georgia",10912876,13,2022
"HI",1.14567739391027,0.291626972995342,"Hawaii",1440196,15,2022
"IA",0.68738894372378,0.54053766938279,"Iowa",3200517,19,2022
"ID",0.887040086476094,0.819996359009878,"Idaho",1939033,16,2022
"IL",0.711331842106267,0.383880759483047,"Illinois",12582032,17,2022
"IN",0.775643392535413,0.501972987999333,"Indiana",6833037,18,2022
"KS",0.680932196176566,0.527722452036838,"Kansas",2937150,20,2022
"KY",1.47374626300055,0.576201546436304,"Kentucky",4512310,21,2022
"LA",0.633953642085459,0.511955690343928,"Louisiana",4590241,22,2022
"MA",0.867949379358903,0.565742582255391,"Massachusetts",6981974,25,2022
"MD",0.913270156018337,0.647237641654203,"Maryland",6164660,24,2022
"ME",1.82626647609973,1.55918402702586,"Maine",1385340,23,2022
"MI",0.50926275197419,0.45444973561689,"Michigan",10034113,26,2022
"MN",0.984750534528887,0.584203691887475,"Minnesota",5717184,27,2022
"MO",0.610234095187131,0.417613783974217,"Missouri",6177957,29,2022
"MS",0.50679289551189,0.843521060986233,"Mississippi",2940057,28,2022
"MT",1.6564740080526,0.970729391815772,"Montana",1122867,30,2022
"NC",0.777644732816879,0.418731779209089,"North Carolina",10698973,37,2022
"ND",1.28326709536343,0.564637521959908,"North Dakota",779261,38,2022
"NE",0.736817446617576,0.929914432627699,"Nebraska",1967923,31,2022
"NH",1.06075624753177,0.637887202907619,"New Hampshire",1395231,33,2022
"NJ",0.584126087448966,0.45779937352747,"New Jersey",9261699,34,2022
"NM",1.04100420944248,0.511038430089943,"New Mexico",2113344,35,2022
"NV",0.541259725367333,0.361888769867693,"Nevada",3177772,32,2022
"NY",0.552925573422697,0.469071970835615,"New York",19677151,36,2022
"OH",0.751102112629931,0.700064596482937,"Ohio",11756058,39,2022
"OK",0.606995372904125,0.48758644708692,"Oklahoma",4019800,40,2022
"OR",0.721674794941767,0.542435303387603,"Oregon",4240137,41,2022
"PA",0.569688208641253,0.514184080059155,"Pennsylvania",12972008,42,2022
"PR",NA,NA,NA,NA,NA,2022
"RI",0.77715422579896,0.576008426180406,"Rhode Island",1093734,44,2022
"SC",0.272591286846675,0.238517375990841,"South Carolina",5282634,45,2022
"SD",0.747397298818233,0.549556837366348,"South Dakota",909824,46,2022
"TN",0.567268145808902,0.470832561021389,"Tennessee",7051339,47,2022
"TX",0.245091738237228,0.173495646224994,"Texas",30029572,48,2022
"UT",1.18315191670611,1.05300520586843,"Utah",3380800,49,2022
"VA",0.445666720292542,0.429544409997721,"Virginia",8683619,51,2022
"VT",1.05090068370362,1.23635374553367,"Vermont",647064,50,2022
"WA",0.73852530752836,0.544582139812217,"Washington",7785786,53,2022
"WI",0.61603325832888,0.86041008807918,"Wisconsin",5892539,55,2022
"WV",0.974562235657035,0.822462927201891,"West Virginia",1775156,54,2022
"WY",1.16962886644042,0.877221649830318,"Wyoming",581381,56,2022
"ZZ",NA,NA,NA,NA,NA,2022
